id,indicator_id,province_id,indicator_value,year
,23,1100,7.13,2024
,23,1200,11.5,2024
,23,1300,9.23,2024
,23,1400,12,2024
,23,1500,6.68,2024
,23,1600,6.49,2024
,23,1700,7.66,2024
,23,1800,6.82,2024
,23,1900,4.9,2024
,23,2100,6.81,2024
,23,3100,7.16,2024
,23,3200,6.31,2024
,23,3300,11.22,2024
,23,3400,11.53,2024
,23,3500,7.7,2024
,23,3600,5.51,2024
,23,5100,20,2024
,23,5200,13.4,2024
,23,5300,7.29,2024
,23,6100,5.28,2024
,23,6200,5.43,2024
,23,6300,4.2,2024
,23,6400,5.24,2024
,23,6500,6.72,2024
,23,7100,13.91,2024
,23,7200,7.15,2024
,23,7300,3.36,2024
,23,7400,3.19,2024
,23,7500,4.6,2024
,23,7600,11.11,2024
,23,8100,9.44,2024
,23,8200,8,2024
,23,9100,9.19,2024
,23,9400,9.39,2024
,23,1001,6.35,2024
,24,1100,1.85,2024
,24,1200,3.29,2024
,24,1300,2.06,2024
,24,1400,2.21,2024
,24,1500,1.76,2024
,24,1600,1.27,2024
,24,1700,1.85,2024
,24,1800,2.05,2024
,24,1900,1.52,2024
,24,2100,1.6,2024
,24,3100,1.49,2024
,24,3200,1.72,2024
,24,3300,2.18,2024
,24,3400,4.42,2024
,24,3500,2.66,2024
,24,3600,1,2024
,24,5100,6.73,2024
,24,5200,3.29,2024
,24,5300,1.88,2024
,24,6100,0.69,2024
,24,6200,1.64,2024
,24,6300,2.98,2024
,24,6400,2.27,2024
,24,6500,2.95,2024
,24,7100,3.03,2024
,24,7200,1.38,2024
,24,7300,1.54,2024
,24,7400,1.61,2024
,24,7500,5.02,2024
,24,7600,1.02,2024
,24,8100,1.3,2024
,24,8200,0.9,2024
,24,9100,3.11,2024
,24,9400,5.61,2024
,24,1001,2.04,2024
,25,1100,36.51,2024
,25,1200,15.68,2024
,25,1300,12.65,2024
,25,1400,25.74,2024
,25,1500,12.58,2024
,25,1600,13.76,2024
,25,1700,9.1,2024
,25,1800,15.35,2024
,25,1900,23.3,2024
,25,2100,19.17,2024
,25,3100,10.62,2024
,25,3200,17.13,2024
,25,3300,27,2024
,25,3400,22.54,2024
,25,3500,41.56,2024
,25,3600,26.16,2024
,25,5100,41.73,2024
,25,5200,29.28,2024
,25,5300,25.93,2024
,25,6100,22.23,2024
,25,6200,20.58,2024
,25,6300,21.83,2024
,25,6400,18.64,2024
,25,6500,23.85,2024
,25,7100,27.3,2024
,25,7200,24.17,2024
,25,7300,22.05,2024
,25,7400,16.55,2024
,25,7500,26,2024
,25,7600,25.86,2024
,25,8100,20,2024
,25,8200,30.45,2024
,25,9100,24.51,2024
,25,9400,12.8,2024
,25,1001,23.06,2024
,26,1100,64.16,2024
,26,1200,55.5,2024
,26,1300,45.91,2024
,26,1400,56.14,2024
,26,1500,54.93,2024
,26,1600,45.35,2024
,26,1700,47.15,2024
,26,1800,46.98,2024
,26,1900,50.27,2024
,26,2100,59.96,2024
,26,3100,57.86,2024
,26,3200,55.29,2024
,26,3300,47.53,2024
,26,3400,57.86,2024
,26,3500,47.96,2024
,26,3600,43.53,2024
,26,5100,64.87,2024
,26,5200,50.6,2024
,26,5300,52.75,2024
,26,6100,42.72,2024
,26,6200,53.59,2024
,26,6300,55.81,2024
,26,6400,60.49,2024
,26,6500,48.44,2024
,26,7100,47.83,2024
,26,7200,40.95,2024
,26,7300,53.61,2024
,26,7400,44.65,2024
,26,7500,38.18,2024
,26,7600,46.5,2024
,26,8100,41.4,2024
,26,8200,50.5,2024
,26,9100,54.08,2024
,26,9400,48.25,2024
,26,1001,48.09,2024
,27,1100,57.56,2024
,27,1200,64.02,2024
,27,1300,63.6,2024
,27,1400,71.66,2024
,27,1500,64.65,2024
,27,1600,60.69,2024
,27,1700,61.29,2024
,27,1800,68.09,2024
,27,1900,70.99,2024
,27,2100,72.11,2024
,27,3100,85,2024
,27,3200,83.67,2024
,27,3300,71.21,2024
,27,3400,64.65,2024
,27,3500,83.45,2024
,27,3600,80.52,2024
,27,5100,84,2024
,27,5200,59.86,2024
,27,5300,43.79,2024
,27,6100,60.62,2024
,27,6200,74.96,2024
,27,6300,75.03,2024
,27,6400,68.05,2024
,27,6500,76.06,2024
,27,7100,73.1,2024
,27,7200,55.87,2024
,27,7300,67.88,2024
,27,7400,67.15,2024
,27,7500,63.54,2024
,27,7600,51.5,2024
,27,8100,54.65,2024
,27,8200,50,2024
,27,9100,69.16,2024
,27,9400,37.81,2024
,27,1001,67.67,2024
,28,1100,20.5,2024
,28,1200,11.01,2024
,28,1300,22.47,2024
,28,1400,16.07,2024
,28,1500,9.77,2024
,28,1600,10.07,2024
,28,1700,14.68,2024
,28,1800,14.03,2024
,28,1900,15.97,2024
,28,2100,15.5,2024
,28,3100,19.36,2024
,28,3200,13.6,2024
,28,3300,17.83,2024
,28,3400,19.58,2024
,28,3500,17.55,2024
,28,3600,16.49,2024
,28,5100,17.86,2024
,28,5200,25,2024
,28,5300,15.72,2024
,28,6100,11.6,2024
,28,6200,13.48,2024
,28,6300,14.01,2024
,28,6400,17.43,2024
,28,6500,13.44,2024
,28,7100,8.97,2024
,28,7200,12.66,2024
,28,7300,13.26,2024
,28,7400,15.16,2024
,28,7500,15.82,2024
,28,7600,11.15,2024
,28,8100,13.57,2024
,28,8200,11,2024
,28,9100,11.8,2024
,28,9400,4.67,2024
,28,1001,16.2,2024
,29,1100,62,2024
,29,1200,76.04,2024
,29,1300,73.86,2024
,29,1400,55.83,2024
,29,1500,60.72,2024
,29,1600,65.13,2024
,29,1700,68.26,2024
,29,1800,63.13,2024
,29,1900,62.75,2024
,29,2100,59.66,2024
,29,3100,59.73,2024
,29,3200,61.43,2024
,29,3300,68,2024
,29,3400,81.55,2024
,29,3500,69.05,2024
,29,3600,57.34,2024
,29,5100,89.56,2024
,29,5200,74.5,2024
,29,5300,75.77,2024
,29,6100,65.34,2024
,29,6200,61.84,2024
,29,6300,68.08,2024
,29,6400,64.06,2024
,29,6500,57.84,2024
,29,7100,62.96,2024
,29,7200,64.46,2024
,29,7300,61.3,2024
,29,7400,73.6,2024
,29,7500,68.6,2024
,29,7600,75,2024
,29,8100,69,2024
,29,8200,61.9,2024
,29,9100,67.16,2024
,29,9400,79.92,2024
,29,1001,64.23,2024
,30,1100,84.48,2024
,30,1200,94.61,2024
,30,1300,97.05,2024
,30,1400,89.87,2024
,30,1500,85.95,2024
,30,1600,88.26,2024
,30,1700,91.27,2024
,30,1800,84.29,2024
,30,1900,85.16,2024
,30,2100,97.34,2024
,30,3100,88.89,2024
,30,3200,77.89,2024
,30,3300,79.98,2024
,30,3400,85.57,2024
,30,3500,75.16,2024
,30,3600,84.75,2024
,30,5100,74.13,2024
,30,5200,71.53,2024
,30,5300,82.6,2024
,30,6100,81.15,2024
,30,6200,87.58,2024
,30,6300,79.91,2024
,30,6400,84.63,2024
,30,6500,87.37,2024
,30,7100,100,2024
,30,7200,87.76,2024
,30,7300,89.37,2024
,30,7400,89.99,2024
,30,7500,111.92,2024
,30,7600,93.05,2024
,30,8100,91.89,2024
,30,8200,84,2024
,30,9100,90.01,2024
,30,9400,74.8,2024
,30,1001,81.59,2024
,31,1100,22.98,2024
,31,1200,17.65,2024
,31,1300,10.44,2024
,31,1400,30,2024
,31,1500,23.48,2024
,31,1600,24.22,2024
,31,1700,21.62,2024
,31,1800,24.03,2024
,31,1900,7.98,2024
,31,2100,25.58,2024
,31,3100,25.13,2024
,31,3200,31.27,2024
,31,3300,35.01,2024
,31,3400,16.17,2024
,31,3500,18.94,2024
,31,3600,30.37,2024
,31,5100,16.36,2024
,31,5200,10.39,2024
,31,5300,18.41,2024
,31,6100,14.8,2024
,31,6200,49.81,2024
,31,6300,20.87,2024
,31,6400,15.01,2024
,31,6500,30.66,2024
,31,7100,71.94,2024
,31,7200,36.11,2024
