indicator_id,province_id,indicator_value,year
25,3200,12.16,2022
25,3300,28.29,2022
25,3400,21.70,2022
25,3500,32.02,2022
25,3600,20.36,2022
25,5100,31.80,2022
25,5200,18.00,2022
25,5300,15.04,2022
25,6100,21.76,2022
25,6200,13.61,2022
25,6300,17.92,2022
25,6400,15.60,2022
25,6500,15.57,2022
25,7100,13.34,2022
25,7200,20.57,2022
25,7300,17.65,2022
25,7400,20.43,2022
25,7500,21.91,2022
25,7600,12.44,2022
25,8100,12.36,2022
25,8200,15.00,2022
25,9100,8.72,2022
25,9400,10.71,2022
25,1001,18.90,2022
26,1100,58.60,2022
26,1200,58.85,2022
26,1300,54.55,2022
26,1400,58.69,2022
26,1500,56.20,2022
26,1600,59.02,2022
26,1700,52.46,2022
26,1800,47.79,2022
26,1900,52.59,2022
26,2100,56.26,2022
26,3100,67.32,2022
26,3200,52.13,2022
26,3300,47.18,2022
26,3400,46.90,2022
26,3500,51.30,2022
26,3600,53.04,2022
26,5100,82.74,2022
26,5200,48.23,2022
26,5300,50.71,2022
26,6100,54.54,2022
26,6200,51.77,2022
26,6300,51.19,2022
26,6400,61.02,2022
26,6500,48.90,2022
26,7100,43.53,2022
26,7200,54.20,2022
26,7300,54.44,2022
26,7400,55.87,2022
26,7500,64.64,2022
26,7600,51.33,2022
26,8100,45.32,2022
26,8200,52.03,2022
26,9100,43.75,2022
26,9400,35.23,2022
26,1001,53.18,2022
27,1100,56.70,2022
27,1200,68.30,2022
27,1300,65.43,2022
27,1400,71.85,2022
27,1500,66.11,2022
27,1600,63.89,2022
27,1700,65.01,2022
27,1800,66.10,2022
27,1900,70.23,2022
27,2100,85.87,2022
27,3100,87.61,2022
27,3200,73.02,2022
27,3300,68.25,2022
27,3400,75.32,2022
27,3500,65.05,2022
27,3600,73.56,2022
27,5100,71.71,2022
27,5200,60.10,2022
27,5300,50.20,2022
27,6100,64.43,2022
27,6200,68.54,2022
27,6300,71.42,2022
27,6400,82.38,2022
27,6500,79.49,2022
27,7100,63.94,2022
27,7200,57.62,2022
27,7300,66.13,2022
27,7400,65.28,2022
27,7500,61.69,2022
27,7600,58.32,2022
27,8100,58.38,2022
27,8200,53.30,2022
27,9100,61.29,2022
27,9400,27.89,2022
27,1001,68.24,2022
